NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S
 12005001;ALPUECH;44.756000;2.868167;1107;20230101;0.0;1;6.6;1;645;9;13.0;1;1148;9;9.3;1;9.8;1;6.4;1;5.4;9;;;0;9;10.9;1;;;16.8;1;150;9;2258;9;26.4;1;140;9;2249;9;;;;;;;24.0;9;;;2249;9
 12005001;ALPUECH;44.756000;2.868167;1107;20230102;10.4;1;5.5;1;1752;9;8.5;1;941;9;6.8;1;7.0;1;3.0;1;5.2;9;;;0;9;6.4;1;;;16.6;1;150;1;46;9;26.5;1;150;1;349;9;;;;;;;24.0;9;;;349;9
 12005001;ALPUECH;44.756000;2.868167;1107;20230103;0.0;1;1.5;1;1800;9;6.6;1;1403;9;3.1;1;4.1;1;5.1;1;-3.3;9;;;226;9;2.5;1;;;5.5;1;60;1;952;9;7.7;1;50;1;539;9;;;;;;;6.8;9;;;539;9
 12005001;ALPUECH;44.756000;2.868167;1107;20230104;1.6;1;-0.9;1;2320;9;6.6;1;1216;9;3.2;1;2.9;1;7.5;1;-7.5;9;;;95;9;1.8;1;;;4.9;1;300;1;1210;9;8.0;1;310;1;1203;9;;;;;;;7.1;9;;;1203;9
 12005001;ALPUECH;44.756000;2.868167;1107;20230105;0.0;1;3.7;1;1803;9;6.4;1;1400;9;5.1;1;5.1;1;2.7;1;3.6;9;;;0;9;3.3;1;;;7.4;1;60;9;2027;9;10.1;1;80;9;2003;9;;;;;;;9.2;9;;;2003;9
 12005001;ALPUECH;44.756000;2.868167;1107;20230106;0.2;1;0.2;1;417;9;5.0;1;549;9;2.4;1;2.6;1;4.8;1;-2.8;9;;;2;9;2.3;1;;;6.5;1;70;1;507;9;10.4;1;160;9;2107;9;;;;;;;9.3;9;;;2121;9
 12005001;ALPUECH;44.756000;2.868167;1107;20230107;7.8;1;-0.1;1;8;9;11.3;1;1214;9;6.1;1;5.6;1;11.4;1;-3.7;9;;;10;9;5.5;1;;;8.2;1;180;9;2350;9;12.6;1;160;9;2341;9;;;;;;;11.2;9;;;0;9
 12005001;ALPUECH;44.756000;2.868167;1107;20230108;15.4;1;3.5;1;635;9;6.2;1;1046;9;4.6;1;4.9;1;2.7;1;3.4;9;;;0;9;7.5;1;;;13.8;1;220;1;1751;9;24.0;1;210;1;1748;9;;;;;;;22.0;9;;;1748;9
 12005001;ALPUECH;44.756000;2.868167;1107;20230109;15.0;1;-0.4;1;1341;9;0.7;1;621;9;0.0;1;0.2;1;1.1;1;-0.1;9;;;1038;9;6.0;1;;;9.0;1;280;1;1854;9;19.7;1;230;1;1027;9;;;;;;;16.8;9;;;1027;9
 12005001;ALPUECH;44.756000;2.868167;1107;20230110;0.0;1;-1.2;1;508;9;3.6;1;518;9;1.2;1;1.2;1;4.8;1;-2.3;9;;;568;9;3.5;1;;;6.0;1;300;1;115;9;10.4;1;320;1;108;9;;;;;;;8.7;9;;;111;9
